repetitiveness,sat,prop_equal,prop_deterministic,treewidth,literal_factor,clause_factor,instance
0.0,1,0,0,96,5,14.142135623730951,100-14.142135623730951-5-0.0-0-0-1
1.0,1,0,0,9,5,0.625,100-0.625-5-1.0-0-0-10
0.77,0,0,0,2,2,1.7677669529663689,100-1.7677669529663689-2-0.77-0-0-7
0.86,1,0,0,42,5,1.7677669529663689,100-1.7677669529663689-5-0.86-0-0-3
0.13,0,0,0,71,2,14.142135623730951,100-14.142135623730951-2-0.13-0-0-6
0.99,1,0,0,10,5,1.25,100-1.25-5-0.99-0-0-10
0.95,1,0,0,5,3,1.7677669529663689,100-1.7677669529663689-3-0.95-0-0-7
0.96,0,0,0,1,1,3.5355339059327378,100-3.5355339059327378-1-0.96-0-0-2
0.96,1,0,0,4,3,0.625,100-0.625-3-0.96-0-0-2
0.79,0,0,0,1,1,5.0,100-5.0-1-0.79-0-0-1
0.36,1,0,0,80,4,5.0,100-5.0-4-0.36-0-0-3
0.84,1,0,0,10,5,0.4419417382415922,100-0.4419417382415922-5-0.84-0-0-1
0.86,0,0,0,1,1,3.5355339059327378,100-3.5355339059327378-1-0.86-0-0-4
0.62,1,0,0,83,5,5.0,100-5.0-5-0.62-0-0-7
0.2,1,0,0,78,5,2.5,100-2.5-5-0.2-0-0-2
0.91,0,0,0,18,2,14.142135623730951,100-14.142135623730951-2-0.91-0-0-6
0.85,0,0,0,6,2,3.5355339059327378,100-3.5355339059327378-2-0.85-0-0-9
0.81,1,0,0,71,5,3.5355339059327378,100-3.5355339059327378-5-0.81-0-0-3
0.72,1,0,0,8,4,0.4419417382415922,100-0.4419417382415922-4-0.72-0-0-7
0.51,1,0,0,78,5,3.5355339059327378,100-3.5355339059327378-5-0.51-0-0-8
0.4,0,0,0,1,1,2.5,100-2.5-1-0.4-0-0-10
0.43,0,0,0,1,1,3.5355339059327378,100-3.5355339059327378-1-0.43-0-0-8
0.27,0,0,0,12,2,1.7677669529663689,100-1.7677669529663689-2-0.27-0-0-10
0.58,1,0,0,51,5,1.25,100-1.25-5-0.58-0-0-6
0.2,0,0,0,1,1,10.0,100-10.0-1-0.2-0-0-3
0.64,1,0,0,58,5,1.7677669529663689,100-1.7677669529663689-5-0.64-0-0-4
0.36,1,0,0,43,3,2.5,100-2.5-3-0.36-0-0-7
0.48,0,0,0,1,1,2.5,100-2.5-1-0.48-0-0-7
0.68,0,0,0,79,3,14.142135623730951,100-14.142135623730951-3-0.68-0-0-4
0.0,0,0,0,88,3,14.142135623730951,100-14.142135623730951-3-0.0-0-0-1
0.09,0,0,0,84,3,10.0,100-10.0-3-0.09-0-0-2
0.74,0,0,0,88,4,14.142135623730951,100-14.142135623730951-4-0.74-0-0-5
0.93,1,0,0,4,3,0.4419417382415922,100-0.4419417382415922-3-0.93-0-0-9
0.68,0,0,0,47,2,14.142135623730951,100-14.142135623730951-2-0.68-0-0-7
0.62,1,0,0,33,5,0.8838834764831844,100-0.8838834764831844-5-0.62-0-0-8
0.74,0,0,0,11,2,3.5355339059327378,100-3.5355339059327378-2-0.74-0-0-7
0.62,0,0,0,1,1,2.5,100-2.5-1-0.62-0-0-1
0.46,0,0,0,1,1,2.5,100-2.5-1-0.46-0-0-10
0.14,1,0,0,81,4,5.0,100-5.0-4-0.14-0-0-1
0.41,1,0,0,4,3,0.4419417382415922,100-0.4419417382415922-3-0.41-0-0-2
0.14,1,0,0,92,5,7.0710678118654755,100-7.0710678118654755-5-0.14-0-0-2
0.71,1,0,0,9,3,1.25,100-1.25-3-0.71-0-0-8
0.68,1,0,0,54,4,2.5,100-2.5-4-0.68-0-0-2
0.02,0,0,0,1,1,0.4419417382415922,100-0.4419417382415922-1-0.02-0-0-6
0.5,0,0,0,1,1,0.625,100-0.625-1-0.5-0-0-5
0.03,1,0,0,63,5,1.25,100-1.25-5-0.03-0-0-1
0.97,0,0,0,2,2,1.7677669529663689,100-1.7677669529663689-2-0.97-0-0-4
0.71,1,0,0,73,4,5.0,100-5.0-4-0.71-0-0-2
1.0,0,0,0,19,4,10.0,100-10.0-4-1.0-0-0-4
0.79,1,0,0,35,4,1.7677669529663689,100-1.7677669529663689-4-0.79-0-0-5
0.18,0,0,0,67,2,14.142135623730951,100-14.142135623730951-2-0.18-0-0-2
0.96,1,0,0,15,5,1.25,100-1.25-5-0.96-0-0-1
0.45,0,0,0,1,1,0.8838834764831844,100-0.8838834764831844-1-0.45-0-0-5
0.36,1,0,0,3,2,0.8838834764831844,100-0.8838834764831844-2-0.36-0-0-8
0.88,1,0,0,4,3,0.4419417382415922,100-0.4419417382415922-3-0.88-0-0-8
0.46,1,0,0,11,4,0.4419417382415922,100-0.4419417382415922-4-0.46-0-0-8
0.75,0,0,0,53,3,5.0,100-5.0-3-0.75-0-0-7
0.4,0,0,0,13,2,2.5,100-2.5-2-0.4-0-0-3
0.64,1,0,0,33,5,0.8838834764831844,100-0.8838834764831844-5-0.64-0-0-9
0.77,0,0,0,1,1,5.0,100-5.0-1-0.77-0-0-5
0.99,1,0,0,11,4,1.7677669529663689,100-1.7677669529663689-4-0.99-0-0-9
0.73,1,0,0,63,4,3.5355339059327378,100-3.5355339059327378-4-0.73-0-0-10
0.19,1,0,0,12,4,0.4419417382415922,100-0.4419417382415922-4-0.19-0-0-5
0.65,1,0,0,2,2,0.4419417382415922,100-0.4419417382415922-2-0.65-0-0-10
0.53,1,0,0,76,4,5.0,100-5.0-4-0.53-0-0-2
0.65,0,0,0,1,1,5.0,100-5.0-1-0.65-0-0-4
0.28,1,0,0,44,5,0.8838834764831844,100-0.8838834764831844-5-0.28-0-0-5
0.09,0,0,0,1,1,0.8838834764831844,100-0.8838834764831844-1-0.09-0-0-5
0.34,0,0,0,92,4,14.142135623730951,100-14.142135623730951-4-0.34-0-0-10
0.97,1,0,0,59,5,5.0,100-5.0-5-0.97-0-0-8
1.0,1,0,0,2,2,0.625,100-0.625-2-1.0-0-0-6
0.83,1,0,0,10,4,0.8838834764831844,100-0.8838834764831844-4-0.83-0-0-6
0.55,0,0,0,2,2,1.25,100-1.25-2-0.55-0-0-9
0.82,0,0,0,25,2,10.0,100-10.0-2-0.82-0-0-8
0.59,0,0,0,15,2,3.5355339059327378,100-3.5355339059327378-2-0.59-0-0-2
0.93,0,0,0,11,2,10.0,100-10.0-2-0.93-0-0-8
0.42,0,0,0,1,1,1.7677669529663689,100-1.7677669529663689-1-0.42-0-0-2
0.81,0,0,0,61,3,7.0710678118654755,100-7.0710678118654755-3-0.81-0-0-10
0.2,0,0,0,92,4,14.142135623730951,100-14.142135623730951-4-0.2-0-0-5
0.8,1,0,0,6,4,0.625,100-0.625-4-0.8-0-0-5
0.35,0,0,0,1,1,1.25,100-1.25-1-0.35-0-0-5
0.64,0,0,0,1,1,14.142135623730951,100-14.142135623730951-1-0.64-0-0-6
0.18,0,0,0,60,2,10.0,100-10.0-2-0.18-0-0-2
0.08,0,0,0,1,1,10.0,100-10.0-1-0.08-0-0-6
0.38,1,0,0,3,2,0.8838834764831844,100-0.8838834764831844-2-0.38-0-0-5
0.21,1,0,0,80,4,5.0,100-5.0-4-0.21-0-0-1
0.4,0,0,0,11,2,1.7677669529663689,100-1.7677669529663689-2-0.4-0-0-5
0.7,0,0,0,1,1,5.0,100-5.0-1-0.7-0-0-10
0.35,1,0,0,30,4,0.8838834764831844,100-0.8838834764831844-4-0.35-0-0-5
0.54,1,0,0,16,4,0.625,100-0.625-4-0.54-0-0-8
0.63,0,0,0,1,1,5.0,100-5.0-1-0.63-0-0-8
0.24,0,0,0,1,1,1.7677669529663689,100-1.7677669529663689-1-0.24-0-0-4
0.15,0,0,0,1,1,10.0,100-10.0-1-0.15-0-0-6
0.81,0,0,0,3,2,1.7677669529663689,100-1.7677669529663689-2-0.81-0-0-3
0.76,1,0,0,5,3,0.8838834764831844,100-0.8838834764831844-3-0.76-0-0-3
0.9,1,0,0,41,5,1.7677669529663689,100-1.7677669529663689-5-0.9-0-0-5
0.42,1,0,0,3,2,0.625,100-0.625-2-0.42-0-0-9
0.23,1,0,0,65,5,1.7677669529663689,100-1.7677669529663689-5-0.23-0-0-7
0.33,1,0,0,3,2,0.625,100-0.625-2-0.33-0-0-6
0.96,0,0,0,76,4,10.0,100-10.0-4-0.96-0-0-4
0.42,1,0,0,95,5,14.142135623730951,100-14.142135623730951-5-0.42-0-0-10
0.1,0,0,0,1,1,5.0,100-5.0-1-0.1-0-0-10
0.92,0,0,0,1,1,5.0,100-5.0-1-0.92-0-0-1
0.55,0,0,0,1,1,3.5355339059327378,100-3.5355339059327378-1-0.55-0-0-1
0.95,1,0,0,2,2,1.25,100-1.25-2-0.95-0-0-8
0.52,1,0,0,16,4,0.625,100-0.625-4-0.52-0-0-8
0.12,1,0,0,35,5,0.625,100-0.625-5-0.12-0-0-10
0.43,0,0,0,7,2,1.25,100-1.25-2-0.43-0-0-1
0.8,0,0,0,6,2,2.5,100-2.5-2-0.8-0-0-5
0.95,1,0,0,9,4,1.25,100-1.25-4-0.95-0-0-6
0.39,1,0,0,82,5,3.5355339059327378,100-3.5355339059327378-5-0.39-0-0-1
0.71,0,0,0,1,1,10.0,100-10.0-1-0.71-0-0-3
0.54,1,0,0,92,5,10.0,100-10.0-5-0.54-0-0-10
0.71,1,0,0,40,4,1.7677669529663689,100-1.7677669529663689-4-0.71-0-0-3
0.16,0,0,0,76,3,7.0710678118654755,100-7.0710678118654755-3-0.16-0-0-7
0.97,0,0,0,1,1,2.5,100-2.5-1-0.97-0-0-1
0.65,1,0,0,73,4,5.0,100-5.0-4-0.65-0-0-9
0.46,1,0,0,3,2,0.8838834764831844,100-0.8838834764831844-2-0.46-0-0-10
0.65,1,0,0,10,4,0.4419417382415922,100-0.4419417382415922-4-0.65-0-0-1
0.98,0,0,0,1,1,0.625,100-0.625-1-0.98-0-0-7
0.82,1,0,0,92,5,14.142135623730951,100-14.142135623730951-5-0.82-0-0-2
0.78,1,0,0,60,4,3.5355339059327378,100-3.5355339059327378-4-0.78-0-0-5
0.69,0,0,0,6,2,2.5,100-2.5-2-0.69-0-0-3
0.34,0,0,0,72,3,7.0710678118654755,100-7.0710678118654755-3-0.34-0-0-7
0.49,1,0,0,16,4,0.625,100-0.625-4-0.49-0-0-3
0.35,1,0,0,2,2,0.8838834764831844,100-0.8838834764831844-2-0.35-0-0-8
0.88,0,0,0,4,2,3.5355339059327378,100-3.5355339059327378-2-0.88-0-0-7
0.6,1,0,0,10,4,0.625,100-0.625-4-0.6-0-0-2
0.47,0,0,0,4,2,1.25,100-1.25-2-0.47-0-0-9
0.01,1,0,0,87,4,7.0710678118654755,100-7.0710678118654755-4-0.01-0-0-1
0.46,1,0,0,51,5,1.25,100-1.25-5-0.46-0-0-7
0.85,1,0,0,4,3,0.625,100-0.625-3-0.85-0-0-4
0.28,0,0,0,86,3,14.142135623730951,100-14.142135623730951-3-0.28-0-0-10
0.07,1,0,0,68,4,2.5,100-2.5-4-0.07-0-0-10
0.01,0,0,0,1,1,0.8838834764831844,100-0.8838834764831844-1-0.01-0-0-10
0.04,1,0,0,27,5,0.4419417382415922,100-0.4419417382415922-5-0.04-0-0-7
0.27,0,0,0,11,2,1.7677669529663689,100-1.7677669529663689-2-0.27-0-0-9
0.0,1,0,0,56,3,2.5,100-2.5-3-0.0-0-0-10
0.47,0,0,0,1,1,2.5,100-2.5-1-0.47-0-0-6
0.06,0,0,0,72,3,5.0,100-5.0-3-0.06-0-0-2
0.86,0,0,0,2,2,0.8838834764831844,100-0.8838834764831844-2-0.86-0-0-7
0.68,1,0,0,38,4,1.7677669529663689,100-1.7677669529663689-4-0.68-0-0-3
0.77,1,0,0,12,5,0.4419417382415922,100-0.4419417382415922-5-0.77-0-0-1
0.58,1,0,0,23,3,1.7677669529663689,100-1.7677669529663689-3-0.58-0-0-10
0.05,1,0,0,28,3,1.25,100-1.25-3-0.05-0-0-8
0.86,0,0,0,1,1,10.0,100-10.0-1-0.86-0-0-4
0.7,1,0,0,80,4,7.0710678118654755,100-7.0710678118654755-4-0.7-0-0-4
0.27,0,0,0,81,3,10.0,100-10.0-3-0.27-0-0-1
0.36,1,0,0,86,5,5.0,100-5.0-5-0.36-0-0-3
0.04,0,0,0,1,1,5.0,100-5.0-1-0.04-0-0-5
0.32,0,0,0,1,1,7.0710678118654755,100-7.0710678118654755-1-0.32-0-0-6
0.41,1,0,0,5,3,0.625,100-0.625-3-0.41-0-0-2
0.62,0,0,0,3,2,1.25,100-1.25-2-0.62-0-0-3
0.82,1,0,0,89,5,10.0,100-10.0-5-0.82-0-0-4
0.47,0,0,0,1,1,1.25,100-1.25-1-0.47-0-0-7
0.75,0,0,0,88,4,14.142135623730951,100-14.142135623730951-4-0.75-0-0-2
0.58,0,0,0,1,1,1.7677669529663689,100-1.7677669529663689-1-0.58-0-0-7
0.71,0,0,0,13,2,3.5355339059327378,100-3.5355339059327378-2-0.71-0-0-10
0.69,1,0,0,30,4,1.25,100-1.25-4-0.69-0-0-6
0.02,1,0,0,3,2,0.8838834764831844,100-0.8838834764831844-2-0.02-0-0-10
0.01,1,0,0,2,2,0.625,100-0.625-2-0.01-0-0-6
0.2,0,0,0,70,3,5.0,100-5.0-3-0.2-0-0-9
0.13,1,0,0,70,5,1.7677669529663689,100-1.7677669529663689-5-0.13-0-0-3
0.96,0,0,0,1,1,7.0710678118654755,100-7.0710678118654755-1-0.96-0-0-10
0.31,1,0,0,81,5,3.5355339059327378,100-3.5355339059327378-5-0.31-0-0-7
0.12,1,0,0,89,4,10.0,100-10.0-4-0.12-0-0-4
0.75,0,0,0,6,2,2.5,100-2.5-2-0.75-0-0-8
0.36,0,0,0,65,2,14.142135623730951,100-14.142135623730951-2-0.36-0-0-1
0.27,0,0,0,1,1,3.5355339059327378,100-3.5355339059327378-1-0.27-0-0-1
0.6,0,0,0,1,1,5.0,100-5.0-1-0.6-0-0-9
0.98,0,0,0,2,2,1.25,100-1.25-2-0.98-0-0-6
0.58,1,0,0,62,5,1.7677669529663689,100-1.7677669529663689-5-0.58-0-0-8
0.08,1,0,0,26,5,0.4419417382415922,100-0.4419417382415922-5-0.08-0-0-4
0.72,0,0,0,33,2,10.0,100-10.0-2-0.72-0-0-7
0.69,1,0,0,51,5,1.7677669529663689,100-1.7677669529663689-5-0.69-0-0-10
0.67,0,0,0,30,2,7.0710678118654755,100-7.0710678118654755-2-0.67-0-0-1
0.42,1,0,0,47,5,1.25,100-1.25-5-0.42-0-0-6
0.42,1,0,0,40,4,1.25,100-1.25-4-0.42-0-0-5
0.56,1,0,0,48,4,1.7677669529663689,100-1.7677669529663689-4-0.56-0-0-6
0.75,0,0,0,78,3,14.142135623730951,100-14.142135623730951-3-0.75-0-0-2
0.65,0,0,0,24,2,5.0,100-5.0-2-0.65-0-0-7
0.82,1,0,0,89,5,10.0,100-10.0-5-0.82-0-0-1
0.37,0,0,0,1,1,7.0710678118654755,100-7.0710678118654755-1-0.37-0-0-10
0.89,1,0,0,82,4,10.0,100-10.0-4-0.89-0-0-7
0.51,1,0,0,2,2,0.4419417382415922,100-0.4419417382415922-2-0.51-0-0-5
0.66,0,0,0,54,3,5.0,100-5.0-3-0.66-0-0-3
0.82,1,0,0,86,5,7.0710678118654755,100-7.0710678118654755-5-0.82-0-0-5
0.47,0,0,0,22,2,3.5355339059327378,100-3.5355339059327378-2-0.47-0-0-5
0.05,0,0,0,1,1,3.5355339059327378,100-3.5355339059327378-1-0.05-0-0-5
0.17,0,0,0,94,4,14.142135623730951,100-14.142135623730951-4-0.17-0-0-8
0.39,1,0,0,29,4,0.8838834764831844,100-0.8838834764831844-4-0.39-0-0-3
0.53,0,0,0,55,2,14.142135623730951,100-14.142135623730951-2-0.53-0-0-9
0.87,1,0,0,2,2,0.8838834764831844,100-0.8838834764831844-2-0.87-0-0-10
0.73,1,0,0,2,2,0.625,100-0.625-2-0.73-0-0-4
0.86,0,0,0,5,2,3.5355339059327378,100-3.5355339059327378-2-0.86-0-0-2
0.29,0,0,0,1,1,3.5355339059327378,100-3.5355339059327378-1-0.29-0-0-9
0.08,1,0,0,24,4,0.625,100-0.625-4-0.08-0-0-5
0.79,1,0,0,69,4,5.0,100-5.0-4-0.79-0-0-3
0.58,1,0,0,4,3,0.4419417382415922,100-0.4419417382415922-3-0.58-0-0-4
0.68,0,0,0,56,3,5.0,100-5.0-3-0.68-0-0-7
0.93,1,0,0,5,3,0.8838834764831844,100-0.8838834764831844-3-0.93-0-0-9
0.49,0,0,0,91,4,14.142135623730951,100-14.142135623730951-4-0.49-0-0-1
0.72,0,0,0,54,3,5.0,100-5.0-3-0.72-0-0-6
0.92,0,0,0,2,2,1.25,100-1.25-2-0.92-0-0-4
0.93,0,0,0,2,2,2.5,100-2.5-2-0.93-0-0-5
0.67,0,0,0,1,1,0.8838834764831844,100-0.8838834764831844-1-0.67-0-0-4
0.23,0,0,0,76,3,7.0710678118654755,100-7.0710678118654755-3-0.23-0-0-9
0.14,1,0,0,15,4,0.4419417382415922,100-0.4419417382415922-4-0.14-0-0-6
0.2,1,0,0,56,5,1.25,100-1.25-5-0.2-0-0-8
0.63,1,0,0,88,5,7.0710678118654755,100-7.0710678118654755-5-0.63-0-0-9
0.52,0,0,0,1,1,0.8838834764831844,100-0.8838834764831844-1-0.52-0-0-4
0.06,1,0,0,72,5,1.7677669529663689,100-1.7677669529663689-5-0.06-0-0-4
0.01,1,0,0,67,4,2.5,100-2.5-4-0.01-0-0-6
0.32,1,0,0,91,5,7.0710678118654755,100-7.0710678118654755-5-0.32-0-0-4
0.93,0,0,0,68,3,14.142135623730951,100-14.142135623730951-3-0.93-0-0-9
0.6,1,0,0,31,4,1.25,100-1.25-4-0.6-0-0-10
0.77,1,0,0,73,5,3.5355339059327378,100-3.5355339059327378-5-0.77-0-0-2
0.0,0,0,0,72,2,14.142135623730951,100-14.142135623730951-2-0.0-0-0-6
0.79,0,0,0,23,2,7.0710678118654755,100-7.0710678118654755-2-0.79-0-0-10
0.31,1,0,0,16,3,0.8838834764831844,100-0.8838834764831844-3-0.31-0-0-3
0.58,0,0,0,1,1,14.142135623730951,100-14.142135623730951-1-0.58-0-0-9
0.0,1,0,0,26,5,0.4419417382415922,100-0.4419417382415922-5-0.0-0-0-6
0.3,1,0,0,5,3,0.4419417382415922,100-0.4419417382415922-3-0.3-0-0-3
0.76,1,0,0,2,2,0.4419417382415922,100-0.4419417382415922-2-0.76-0-0-8
0.3,1,0,0,56,4,1.7677669529663689,100-1.7677669529663689-4-0.3-0-0-7
0.19,1,0,0,2,2,0.4419417382415922,100-0.4419417382415922-2-0.19-0-0-3
0.12,1,0,0,40,3,1.7677669529663689,100-1.7677669529663689-3-0.12-0-0-10
0.95,0,0,0,2,2,3.5355339059327378,100-3.5355339059327378-2-0.95-0-0-10
0.06,1,0,0,17,4,0.4419417382415922,100-0.4419417382415922-4-0.06-0-0-8
0.21,0,0,0,1,1,1.25,100-1.25-1-0.21-0-0-4
0.88,0,0,0,2,2,1.25,100-1.25-2-0.88-0-0-2
0.98,0,0,0,78,4,14.142135623730951,100-14.142135623730951-4-0.98-0-0-3
0.18,0,0,0,1,1,10.0,100-10.0-1-0.18-0-0-2
0.16,0,0,0,90,4,10.0,100-10.0-4-0.16-0-0-5
0.72,0,0,0,1,1,2.5,100-2.5-1-0.72-0-0-3
0.85,1,0,0,6,4,0.625,100-0.625-4-0.85-0-0-9
0.41,1,0,0,19,5,0.4419417382415922,100-0.4419417382415922-5-0.41-0-0-9
0.44,1,0,0,88,5,7.0710678118654755,100-7.0710678118654755-5-0.44-0-0-1
0.03,1,0,0,5,2,0.8838834764831844,100-0.8838834764831844-2-0.03-0-0-8
0.12,1,0,0,20,3,0.8838834764831844,100-0.8838834764831844-3-0.12-0-0-2
0.77,0,0,0,1,1,0.8838834764831844,100-0.8838834764831844-1-0.77-0-0-2
0.19,1,0,0,12,3,0.625,100-0.625-3-0.19-0-0-6
0.97,0,0,0,30,3,10.0,100-10.0-3-0.97-0-0-9
0.82,0,0,0,1,1,0.625,100-0.625-1-0.82-0-0-9
0.6,1,0,0,87,5,7.0710678118654755,100-7.0710678118654755-5-0.6-0-0-3
0.53,0,0,0,20,2,3.5355339059327378,100-3.5355339059327378-2-0.53-0-0-9
0.28,1,0,0,56,3,3.5355339059327378,100-3.5355339059327378-3-0.28-0-0-10
0.11,0,0,0,83,3,10.0,100-10.0-3-0.11-0-0-7
0.4,1,0,0,51,4,1.7677669529663689,100-1.7677669529663689-4-0.4-0-0-1
0.55,1,0,0,19,3,1.25,100-1.25-3-0.55-0-0-5
0.41,1,0,0,11,4,0.4419417382415922,100-0.4419417382415922-4-0.41-0-0-7
0.91,1,0,0,59,4,5.0,100-5.0-4-0.91-0-0-1
0.0,0,0,0,88,3,14.142135623730951,100-14.142135623730951-3-0.0-0-0-3
0.26,0,0,0,51,2,7.0710678118654755,100-7.0710678118654755-2-0.26-0-0-4
0.09,1,0,0,87,5,5.0,100-5.0-5-0.09-0-0-6
0.28,0,0,0,1,1,0.625,100-0.625-1-0.28-0-0-7
0.36,0,0,0,86,3,14.142135623730951,100-14.142135623730951-3-0.36-0-0-9
0.03,1,0,0,86,4,7.0710678118654755,100-7.0710678118654755-4-0.03-0-0-4
0.47,0,0,0,1,1,2.5,100-2.5-1-0.47-0-0-1
0.94,0,0,0,85,4,14.142135623730951,100-14.142135623730951-4-0.94-0-0-10
0.09,0,0,0,34,2,3.5355339059327378,100-3.5355339059327378-2-0.09-0-0-4
0.26,0,0,0,57,2,10.0,100-10.0-2-0.26-0-0-1
0.82,0,0,0,1,1,1.25,100-1.25-1-0.82-0-0-10
0.14,1,0,0,19,4,0.625,100-0.625-4-0.14-0-0-6
0.21,1,0,0,61,5,1.25,100-1.25-5-0.21-0-0-10
0.17,1,0,0,8,2,1.25,100-1.25-2-0.17-0-0-6
0.58,1,0,0,39,3,2.5,100-2.5-3-0.58-0-0-2
0.83,0,0,0,18,2,7.0710678118654755,100-7.0710678118654755-2-0.83-0-0-9
0.02,1,0,0,31,3,1.25,100-1.25-3-0.02-0-0-6
0.36,0,0,0,35,2,5.0,100-5.0-2-0.36-0-0-9
0.35,0,0,0,44,2,7.0710678118654755,100-7.0710678118654755-2-0.35-0-0-6
0.11,1,0,0,32,3,1.25,100-1.25-3-0.11-0-0-2
0.53,1,0,0,10,3,0.8838834764831844,100-0.8838834764831844-3-0.53-0-0-1
0.24,1,0,0,59,5,1.25,100-1.25-5-0.24-0-0-8
0.58,0,0,0,65,3,7.0710678118654755,100-7.0710678118654755-3-0.58-0-0-5
0.71,0,0,0,1,1,0.4419417382415922,100-0.4419417382415922-1-0.71-0-0-10
0.35,0,0,0,9,2,1.7677669529663689,100-1.7677669529663689-2-0.35-0-0-6
0.74,1,0,0,4,3,0.625,100-0.625-3-0.74-0-0-5
0.9,1,0,0,82,5,7.0710678118654755,100-7.0710678118654755-5-0.9-0-0-5
0.79,0,0,0,1,1,0.8838834764831844,100-0.8838834764831844-1-0.79-0-0-4
0.07,1,0,0,88,5,5.0,100-5.0-5-0.07-0-0-7
0.01,1,0,0,87,4,7.0710678118654755,100-7.0710678118654755-4-0.01-0-0-5
0.05,0,0,0,24,2,2.5,100-2.5-2-0.05-0-0-7
0.67,0,0,0,80,3,14.142135623730951,100-14.142135623730951-3-0.67-0-0-1
0.76,0,0,0,1,1,3.5355339059327378,100-3.5355339059327378-1-0.76-0-0-9
0.74,1,0,0,19,3,1.7677669529663689,100-1.7677669529663689-3-0.74-0-0-9
0.11,0,0,0,1,1,1.25,100-1.25-1-0.11-0-0-7
0.15,0,0,0,1,1,14.142135623730951,100-14.142135623730951-1-0.15-0-0-4
0.34,0,0,0,46,2,7.0710678118654755,100-7.0710678118654755-2-0.34-0-0-3
0.07,0,0,0,1,1,14.142135623730951,100-14.142135623730951-1-0.07-0-0-3
0.79,0,0,0,2,2,0.625,100-0.625-2-0.79-0-0-8
0.39,0,0,0,1,1,2.5,100-2.5-1-0.39-0-0-8
0.12,0,0,0,1,1,0.625,100-0.625-1-0.12-0-0-6
0.38,0,0,0,1,1,0.625,100-0.625-1-0.38-0-0-9
0.19,1,0,0,90,5,7.0710678118654755,100-7.0710678118654755-5-0.19-0-0-6
0.52,0,0,0,1,1,10.0,100-10.0-1-0.52-0-0-4
0.6,0,0,0,2,2,0.625,100-0.625-2-0.6-0-0-2
0.02,1,0,0,31,3,1.25,100-1.25-3-0.02-0-0-3
0.86,0,0,0,27,2,14.142135623730951,100-14.142135623730951-2-0.86-0-0-6
0.95,0,0,0,1,1,2.5,100-2.5-1-0.95-0-0-5
0.37,1,0,0,64,4,2.5,100-2.5-4-0.37-0-0-5
0.02,0,0,0,56,2,7.0710678118654755,100-7.0710678118654755-2-0.02-0-0-7
0.6,1,0,0,75,4,5.0,100-5.0-4-0.6-0-0-6
0.86,1,0,0,4,3,0.4419417382415922,100-0.4419417382415922-3-0.86-0-0-5
0.36,1,0,0,90,4,10.0,100-10.0-4-0.36-0-0-10
0.38,1,0,0,7,3,0.625,100-0.625-3-0.38-0-0-5
0.28,0,0,0,84,3,14.142135623730951,100-14.142135623730951-3-0.28-0-0-4
0.78,1,0,0,8,4,0.625,100-0.625-4-0.78-0-0-3
0.39,1,0,0,23,3,1.25,100-1.25-3-0.39-0-0-3
0.14,0,0,0,1,1,7.0710678118654755,100-7.0710678118654755-1-0.14-0-0-9
0.32,1,0,0,9,3,0.625,100-0.625-3-0.32-0-0-5
0.19,1,0,0,3,2,0.8838834764831844,100-0.8838834764831844-2-0.19-0-0-8
0.89,0,0,0,1,1,14.142135623730951,100-14.142135623730951-1-0.89-0-0-8
0.72,1,0,0,49,4,2.5,100-2.5-4-0.72-0-0-5
0.73,1,0,0,41,3,3.5355339059327378,100-3.5355339059327378-3-0.73-0-0-3
0.72,1,0,0,67,5,2.5,100-2.5-5-0.72-0-0-5
0.75,0,0,0,77,3,14.142135623730951,100-14.142135623730951-3-0.75-0-0-8
0.81,1,0,0,6,4,0.4419417382415922,100-0.4419417382415922-4-0.81-0-0-10
0.68,1,0,0,44,5,1.25,100-1.25-5-0.68-0-0-10
0.15,1,0,0,94,5,10.0,100-10.0-5-0.15-0-0-10
0.88,0,0,0,44,3,7.0710678118654755,100-7.0710678118654755-3-0.88-0-0-6
0.51,1,0,0,14,3,0.8838834764831844,100-0.8838834764831844-3-0.51-0-0-3
0.18,1,0,0,52,5,0.8838834764831844,100-0.8838834764831844-5-0.18-0-0-4
0.23,0,0,0,1,1,5.0,100-5.0-1-0.23-0-0-10
0.01,1,0,0,88,5,5.0,100-5.0-5-0.01-0-0-6
0.34,0,0,0,64,2,14.142135623730951,100-14.142135623730951-2-0.34-0-0-3
0.79,1,0,0,2,2,0.625,100-0.625-2-0.79-0-0-1
0.59,1,0,0,7,3,0.8838834764831844,100-0.8838834764831844-3-0.59-0-0-5
0.2,0,0,0,69,3,5.0,100-5.0-3-0.2-0-0-4
0.8,1,0,0,23,5,0.8838834764831844,100-0.8838834764831844-5-0.8-0-0-4
0.65,1,0,0,91,5,10.0,100-10.0-5-0.65-0-0-6
0.07,1,0,0,69,4,2.5,100-2.5-4-0.07-0-0-7
0.3,1,0,0,24,5,0.4419417382415922,100-0.4419417382415922-5-0.3-0-0-1
0.76,1,0,0,37,4,1.7677669529663689,100-1.7677669529663689-4-0.76-0-0-8
0.52,0,0,0,2,2,0.625,100-0.625-2-0.52-0-0-9
0.93,1,0,0,5,4,0.625,100-0.625-4-0.93-0-0-4
0.7,0,0,0,43,2,14.142135623730951,100-14.142135623730951-2-0.7-0-0-9
0.05,0,0,0,88,3,14.142135623730951,100-14.142135623730951-3-0.05-0-0-10
0.92,1,0,0,62,4,5.0,100-5.0-4-0.92-0-0-10
